,docId,isValid,passage,passage_id,e1,e2
0,BioInfer.d0,True,PROTEIN2 inhibits beta-catenin signaling by preventing formation of a beta-catenin*PROTEIN1*DNA complex.,BioInfer.d0.s0,T-cell factor,alpha-catenin
1,BioInfer.d0,True,alpha-catenin inhibits PROTEIN2 signaling by preventing formation of a PROTEIN2*T-cePROTEIN1 complex.,BioInfer.d0.s0,T-cell factor,beta-catenin
2,BioInfer.d0,True,alpha-catenin inhibits PROTEIN2 signaling by preventing formation of a PROTEIN2*T-cePROTEIN1 complex.,BioInfer.d0.s0,T-cell factor,beta-catenin
3,BioInfer.d0,True,PROTEIN1 inhibits PROTEIN2 signaling by preventing formation of a PROTEIN2*T-cell factor*DNA complex.,BioInfer.d0.s0,alpha-catenin,beta-catenin
4,BioInfer.d0,True,PROTEIN1 inhibits PROTEIN2 signaling by preventing formation of a PROTEIN2*T-cell factor*DNA complex.,BioInfer.d0.s0,alpha-catenin,beta-catenin
5,BioInfer.d0,True,alpha-catenin inhibits PROTEIN1 signaling by preventing formation of a PROTEIN2ell factor*DNA complex.,BioInfer.d0.s0,beta-catenin,beta-catenin
6,BioInfer.d1,True,A binary complex of birch PROTEIN1 and PROTEIN2 could be isolated by gel chromatography.,BioInfer.d1.s0,profilin,skeletal muscle actin
7,BioInfer.d1,True,"Birch PROTEIN2 increased the critical concentration required for muscle and PROTEIN1 polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal actin.",BioInfer.d1.s1,brain actin,profilin
8,BioInfer.d1,True,"Birch PROTEIN1 increased the critical concentration required for PROTEIN2 and brain PROTEIN2 polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal PROTEIN2.",BioInfer.d1.s1,profilin,muscle actin
9,BioInfer.d1,True,"Birch PROTEIN1 increased the critical concentration required for muscle and brain PROTEIN2 polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal PROTEIN2.",BioInfer.d1.s1,profilin,actin
10,BioInfer.d1,False,"Birch profilin increased the critical concentration required for muscle and brainPROTEIN1olymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal actin.",BioInfer.d1.s1,brain actin,muscle actin
11,BioInfer.d1,False,"Birch profilin increased the critical concentration required for muscle and PROTEIN1 polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal PROTEIN2.",BioInfer.d1.s1,brain actin,actin
12,BioInfer.d1,False,"Birch profilin increased the critical concentration required for muscle and brain acPROTEIN1olymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal acPROTEIN2",BioInfer.d1.s1,muscle actin,actin
13,BioInfer.d1,True,Interaction of plant PROTEIN1 with mammalian PROTEIN2.,BioInfer.d1.s2,profilin,actin
14,BioInfer.d1,True,"In viscometric assays, the birch protein was seen to modulate PROTEIN1 filament formation analogous to animal PROTEIN2.",BioInfer.d1.s3,actin,profilin
15,BioInfer.d1,True,"These data indicate that the PROTEIN2-binding domains in plant and animal PROTEIN1 are functionally highly conserved, although the overall sequence similarity is less than 25%.",BioInfer.d1.s4,profilins,actin
16,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for E-cadherin, in 35 (66.0%) for PROTEIN1, in 20 (37.7%) for beta-catenin, and in 37 (69.8%) for PROTEIN2.",BioInfer.d2.s0,alpha-catenin,gamma-catenin
17,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for PROTEIN2, in 35 (66.0%) for PROTEIN1, in 20 (37.7%) for beta-catenin, and in 37 (69.8%) for gamma-catenin.",BioInfer.d2.s0,alpha-catenin,E-cadherin
18,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for E-cadherin, in 35 (66.0%) for PROTEIN1, in 20 (37.7%) for PROTEIN2, and in 37 (69.8%) for gamma-catenin.",BioInfer.d2.s0,alpha-catenin,beta-catenin
