,docId,isValid,passage,passage_id,e1,e2
0,HPRD50.d0,False,Cloning and characterization of two evolutionarily conserved subunits (PROTEIN1 and PROTEIN2) of human TFIIIC and their involvement in functional interactions with TFIIIB and RNA polymerase III,HPRD50.d0.s0,TFIIIC102,TFIIIC63
1,HPRD50.d0,False,Cloning and characterization of two evolutionarily conserved subunits (PROTEIN1 and PROTEIN263) of human PROTEIN2 and their involvement in functional interactions with TFIIIB and RNA polymerase III,HPRD50.d0.s0,TFIIIC102,TFIIIC
2,HPRD50.d0,False,Cloning and characterization of two evolutionarily conserved subunits (PROTEIN2102 and PROTEIN1) of human PROTEIN2 and their involvement in functional interactions with TFIIIB and RNA polymerase III,HPRD50.d0.s0,TFIIIC63,TFIIIC
3,HPRD50.d1,True,"Identification of residues in the PROTEIN1 that contact the MCP-1 receptor, PROTEIN2",HPRD50.d1.s0,monocyte chemotactic protein-1,CCR2
4,HPRD50.d1,False,"The receptor binding site of PROTEIN1 also is significantly different from the binding sites of PROTEIN2 and IL-8, providing insight into the issue of receptor specificity",HPRD50.d1.s1,MCP-1,RANTES
5,HPRD50.d1,False,"The receptor binding site of PROTEIN1 also is significantly different from the binding sites of RANTES and PROTEIN2, providing insight into the issue of receptor specificity",HPRD50.d1.s1,MCP-1,IL-8
6,HPRD50.d1,False,"The receptor binding site of MCP-1 also is significantly different from the binding sites of PROTEIN1 and PROTEIN2, providing insight into the issue of receptor specificity",HPRD50.d1.s1,RANTES,IL-8
7,HPRD50.d1,True,It was previously shown that the N-terminus of PROTEIN1 is critical for binding PROTEIN2,HPRD50.d1.s2,CCR2,MCP-1
8,HPRD50.d1,True,"To identify the regions of PROTEIN1 that contact its receptor, PROTEIN2, we substituted all surface-exposed residues with alanine",HPRD50.d1.s3,MCP-1,CCR2
9,HPRD50.d2,False,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the PROTEIN1 subunit or the PROTEIN2a and FSH beta monomer,HPRD50.d2.s0,CG beta,CG beta alpha
10,HPRD50.d2,False,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the PROTEIN1 subunit or the PROTEIN1 alpha andPROTEIN2a monomer,HPRD50.d2.s0,CG beta,FSH beta
11,HPRD50.d2,False,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the CG beta subunit or the PROTEIN1 and PROTEIN2 monomer,HPRD50.d2.s0,CG beta alpha,FSH beta
12,HPRD50.d2,False,The formation of a functional single chain/subunit complex was not restricted to the FSH single chain/PROTEIN1 subunit since CG single chain interacts with the monomeric PROTEIN2 subunit and exhibits FSH activity,HPRD50.d2.s1,CG beta,FSH beta
13,HPRD50.d2,False,"This is relevant for the case of LH and FSH, because both are synthesized in the same cell (i.e., pituitary gonadotrophs) and several of the alpha subunit sequences required for association with either the PROTEIN1 or PROTEIN2 subunits are different",HPRD50.d2.s2,LH beta,FSH beta
14,HPRD50.d2,False,"Previously, we showed that the PROTEIN1 or PROTEIN2 subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, PROTEIN1 alpha and F beta alpha, respectively",HPRD50.d2.s3,CG beta,FSH beta
15,HPRD50.d2,False,"Previously, we showed that the PROTEIN1 or FSH beta subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, PROTEIN2a and F beta alpha, respectively",HPRD50.d2.s3,CG beta,CG beta alpha
16,HPRD50.d2,False,"Previously, we showed that the CG beta or PROTEIN1 subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, PROTEIN2 and F beta alpha, respectively",HPRD50.d2.s3,FSH beta,CG beta alpha
17,HPRD50.d3,True,"PROTEIN1 activates PROTEIN2, which inhibits apoptosis in human prostate cancer cell lines",HPRD50.d3.s0,Interleukin-6,phosphatidylinositol-3 kinase
18,HPRD50.d3,False,RESULTS: Tyrosine phosphorylation of p85 is upregulated by PROTEIN1 in both LNCaP and PROTEIN2,HPRD50.d3.s1,IL-6,PC-3
19,HPRD50.d3,True,"PROTEIN1 promotes coprecipitation of p85 with PROTEIN2, the signal-transducing component of the PROTEIN1 receptor",HPRD50.d3.s2,IL-6,gp130
20,HPRD50.d3,False,"PROTEIN1 promotes coprecipitation of p85 with gp130, the signal-transducing component of the PROTEIN2ptor",HPRD50.d3.s2,IL-6,IL-6 receptor
21,HPRD50.d3,False,"IL-6 promotes coprecipitation of p85 with PROTEIN1, the signal-transducing component of the PROTEIN2",HPRD50.d3.s2,gp130,IL-6 receptor
22,HPRD50.d4,False,"In solution, FGFR4ed formed complexes with PROTEIN1 and PROTEIN2, both in the presence and absence of heparin",HPRD50.d4.s0,acidic FGF (FGF-1),basic FGF (FGF-2)
23,HPRD50.d4,True,Immobilized PROTEIN1 also bound PROTEIN2 besides FGF-1 and FGF-2,HPRD50.d4.s1,FGFR4,FGF-8
